date,product_name,mrp,cost_price,current_price,discount_pct,stock_qty,days_to_expiry,units_sold_today,is_weekend,margin_pct,profit_per_unit,revenue_today,profit_today,units_sold_7d_avg,waste_if_unsold,loss_if_expired
2025-03-31,Bananas,60,42,42.0,30,24,2,21,0,30.0,0.0,882.0,0.0,11.29,0,0
2025-04-01,Bananas,60,42,42.0,30,3,1,3,0,30.0,0.0,126.0,0.0,12.86,0,0
2025-04-02,Bananas,60,42,60.0,0,45,5,4,0,30.0,18.0,240.0,72.0,12.29,0,0
2025-04-03,Bananas,60,42,60.0,0,41,4,6,0,30.0,18.0,360.0,108.0,10.14,0,0
2025-04-04,Bananas,60,42,60.0,0,35,3,12,0,30.0,18.0,720.0,216.0,9.43,0,0
2025-04-05,Bananas,60,42,36.0,40,23,2,23,1,30.0,-6.0,828.0,-138.0,9.71,0,0
2025-04-06,Bananas,60,42,60.0,0,54,5,13,1,30.0,18.0,780.0,234.0,10.43,0,0
2025-04-07,Bananas,60,42,60.0,0,41,4,12,0,30.0,18.0,720.0,216.0,11.71,0,0
2025-04-08,Bananas,60,42,60.0,0,29,3,14,0,30.0,18.0,840.0,252.0,10.43,0,0
2025-04-09,Bananas,60,42,60.0,0,15,2,12,0,30.0,18.0,720.0,216.0,12.0,0,0
2025-04-10,Bananas,60,42,48.0,20,3,1,3,0,30.0,6.0,144.0,18.0,13.14,0,0
2025-04-11,Bananas,60,42,60.0,0,62,5,8,0,30.0,18.0,480.0,144.0,12.71,0,0
2025-04-12,Bananas,60,42,60.0,0,54,4,7,1,30.0,18.0,420.0,126.0,12.14,0,0
2025-04-13,Bananas,60,42,60.0,0,47,3,7,1,30.0,18.0,420.0,126.0,9.86,0,0
2025-04-14,Bananas,60,42,48.0,20,40,2,24,0,30.0,6.0,1152.0,144.0,9.0,0,0
2025-04-15,Bananas,60,42,48.0,20,16,1,16,0,30.0,6.0,768.0,96.0,10.71,0,0
2025-04-16,Bananas,60,42,60.0,0,58,5,9,0,30.0,18.0,540.0,162.0,11.0,0,0
2025-04-17,Bananas,60,42,60.0,0,49,4,14,0,30.0,18.0,840.0,252.0,10.57,0,0
2025-04-18,Bananas,60,42,60.0,0,35,3,14,0,30.0,18.0,840.0,252.0,12.14,0,0
2025-04-19,Bananas,60,42,48.0,20,21,2,21,1,30.0,6.0,1008.0,126.0,13.0,0,0
2025-04-20,Bananas,60,42,60.0,0,52,5,9,1,30.0,18.0,540.0,162.0,15.0,0,0
2025-04-21,Bananas,60,42,60.0,0,43,4,14,0,30.0,18.0,840.0,252.0,15.29,0,0
2025-04-22,Bananas,60,42,60.0,0,29,3,7,0,30.0,18.0,420.0,126.0,13.86,0,0
2025-04-23,Bananas,60,42,42.0,30,22,2,14,0,30.0,0.0,588.0,0.0,12.57,0,0
2025-04-24,Bananas,60,42,36.0,40,8,1,8,0,30.0,-6.0,288.0,-48.0,13.29,0,0
2025-04-25,Bananas,60,42,60.0,0,53,5,23,0,30.0,18.0,1380.0,414.0,12.43,0,0
2025-04-26,Bananas,60,42,60.0,0,30,4,14,1,30.0,18.0,840.0,252.0,13.71,0,0
2025-04-27,Bananas,60,42,60.0,0,16,3,15,1,30.0,18.0,900.0,270.0,12.71,0,0
2025-04-28,Bananas,60,42,54.0,10,1,2,1,0,30.0,12.0,54.0,12.0,13.57,0,0
2025-04-29,Bananas,60,42,60.0,0,59,5,10,0,30.0,18.0,600.0,180.0,11.71,0,0
2025-04-30,Bananas,60,42,60.0,0,49,4,12,0,30.0,18.0,720.0,216.0,12.14,0,0
2025-05-01,Bananas,60,42,60.0,0,37,3,13,0,30.0,18.0,780.0,234.0,11.86,0,0
2025-05-02,Bananas,60,42,54.0,10,24,2,16,0,30.0,12.0,864.0,192.0,12.57,0,0
2025-05-03,Bananas,60,42,57.0,5,8,1,8,1,30.0,15.0,456.0,120.0,11.57,0,0
2025-05-04,Bananas,60,42,60.0,0,48,5,12,1,30.0,18.0,720.0,216.0,10.71,0,0
2025-05-05,Bananas,60,42,60.0,0,36,4,1,0,30.0,18.0,60.0,18.0,10.29,0,0
2025-05-06,Bananas,60,42,60.0,0,35,3,9,0,30.0,18.0,540.0,162.0,10.29,0,0
2025-05-07,Bananas,60,42,42.0,30,26,2,13,0,30.0,0.0,546.0,0.0,10.14,0,0
2025-05-08,Bananas,60,42,48.0,20,13,1,13,0,30.0,6.0,624.0,78.0,10.29,0,0
2025-05-09,Bananas,60,42,60.0,0,55,5,13,0,30.0,18.0,780.0,234.0,10.29,0,0
2025-05-10,Bananas,60,42,60.0,0,42,4,11,1,30.0,18.0,660.0,198.0,9.86,0,0
2025-05-11,Bananas,60,42,60.0,0,31,3,8,1,30.0,18.0,480.0,144.0,10.29,0,0
2025-05-12,Bananas,60,42,57.0,5,23,2,6,0,30.0,15.0,342.0,90.0,9.71,0,0
2025-05-13,Bananas,60,42,57.0,5,17,1,16,0,30.0,15.0,912.0,240.0,10.43,1,42
2025-05-14,Bananas,60,42,60.0,0,65,5,6,0,30.0,18.0,360.0,108.0,11.43,0,0
2025-05-15,Bananas,60,42,60.0,0,59,4,9,0,30.0,18.0,540.0,162.0,10.43,0,0
2025-05-16,Bananas,60,42,60.0,0,50,3,15,0,30.0,18.0,900.0,270.0,9.86,0,0
2025-05-17,Bananas,60,42,57.0,5,35,2,17,1,30.0,15.0,969.0,255.0,10.14,0,0
2025-05-18,Bananas,60,42,48.0,20,18,1,18,1,30.0,6.0,864.0,108.0,11.0,0,0
2025-05-19,Bananas,60,42,60.0,0,62,5,5,0,30.0,18.0,300.0,90.0,12.43,0,0
2025-05-20,Bananas,60,42,60.0,0,57,4,10,0,30.0,18.0,600.0,180.0,12.29,0,0
2025-05-21,Bananas,60,42,60.0,0,47,3,10,0,30.0,18.0,600.0,180.0,11.43,0,0
2025-05-22,Bananas,60,42,36.0,40,37,2,12,0,30.0,-6.0,432.0,-72.0,12.0,0,0
2025-05-23,Bananas,60,42,48.0,20,25,1,15,0,30.0,6.0,720.0,90.0,12.43,10,420
2025-05-24,Bananas,60,42,60.0,0,49,5,7,1,30.0,18.0,420.0,126.0,12.43,0,0
2025-05-25,Bananas,60,42,60.0,0,42,4,11,1,30.0,18.0,660.0,198.0,11.0,0,0
2025-05-26,Bananas,60,42,60.0,0,31,3,6,0,30.0,18.0,360.0,108.0,10.0,0,0
2025-05-27,Bananas,60,42,48.0,20,25,2,25,0,30.0,6.0,1200.0,150.0,10.14,0,0
2025-05-28,Bananas,60,42,60.0,0,47,5,6,0,30.0,18.0,360.0,108.0,12.29,0,0
2025-05-29,Bananas,60,42,60.0,0,41,4,11,0,30.0,18.0,660.0,198.0,11.71,0,0
2025-05-30,Bananas,60,42,60.0,0,30,3,10,0,30.0,18.0,600.0,180.0,11.57,0,0
2025-05-31,Bananas,60,42,36.0,40,20,2,20,1,30.0,-6.0,720.0,-120.0,10.86,0,0
2025-06-01,Bananas,60,42,60.0,0,57,5,7,1,30.0,18.0,420.0,126.0,12.71,0,0
2025-06-02,Bananas,60,42,60.0,0,50,4,11,0,30.0,18.0,660.0,198.0,12.14,0,0
2025-06-03,Bananas,60,42,60.0,0,39,3,9,0,30.0,18.0,540.0,162.0,12.86,0,0
2025-06-04,Bananas,60,42,48.0,20,30,2,17,0,30.0,6.0,816.0,102.0,10.57,0,0
2025-06-05,Bananas,60,42,48.0,20,13,1,13,0,30.0,6.0,624.0,78.0,12.14,0,0
2025-06-06,Bananas,60,42,60.0,0,62,5,16,0,30.0,18.0,960.0,288.0,12.43,0,0
2025-06-07,Bananas,60,42,60.0,0,46,4,14,1,30.0,18.0,840.0,252.0,13.29,0,0
2025-06-08,Bananas,60,42,60.0,0,32,3,19,1,30.0,18.0,1140.0,342.0,12.43,0,0
2025-06-09,Bananas,60,42,36.0,40,13,2,13,0,30.0,-6.0,468.0,-78.0,14.14,0,0
2025-06-10,Bananas,60,42,60.0,0,46,5,7,0,30.0,18.0,420.0,126.0,14.43,0,0
2025-06-11,Bananas,60,42,60.0,0,39,4,13,0,30.0,18.0,780.0,234.0,14.14,0,0
2025-06-12,Bananas,60,42,60.0,0,26,3,14,0,30.0,18.0,840.0,252.0,13.57,0,0
2025-06-13,Bananas,60,42,48.0,20,12,2,12,0,30.0,6.0,576.0,72.0,13.71,0,0
2025-06-14,Bananas,60,42,60.0,0,60,5,12,1,30.0,18.0,720.0,216.0,13.14,0,0
2025-06-15,Bananas,60,42,60.0,0,48,4,16,1,30.0,18.0,960.0,288.0,12.86,0,0
2025-06-16,Bananas,60,42,60.0,0,32,3,12,0,30.0,18.0,720.0,216.0,12.43,0,0
2025-06-17,Bananas,60,42,42.0,30,20,2,20,0,30.0,0.0,840.0,0.0,12.29,0,0
2025-06-18,Bananas,60,42,60.0,0,51,5,14,0,30.0,18.0,840.0,252.0,14.14,0,0
2025-06-19,Bananas,60,42,60.0,0,37,4,10,0,30.0,18.0,600.0,180.0,14.29,0,0
2025-06-20,Bananas,60,42,60.0,0,27,3,12,0,30.0,18.0,720.0,216.0,13.71,0,0
2025-06-21,Bananas,60,42,48.0,20,15,2,15,1,30.0,6.0,720.0,90.0,13.71,0,0
2025-06-22,Bananas,60,42,60.0,0,46,5,11,1,30.0,18.0,660.0,198.0,14.14,0,0
2025-06-23,Bananas,60,42,60.0,0,35,4,6,0,30.0,18.0,360.0,108.0,13.43,0,0
2025-06-24,Bananas,60,42,60.0,0,29,3,12,0,30.0,18.0,720.0,216.0,12.57,0,0
2025-06-25,Bananas,60,42,48.0,20,17,2,16,0,30.0,6.0,768.0,96.0,11.43,0,0
2025-06-26,Bananas,60,42,60.0,0,1,1,1,0,30.0,18.0,60.0,18.0,11.71,0,0
2025-06-27,Bananas,60,42,60.0,0,62,5,7,0,30.0,18.0,420.0,126.0,10.43,0,0
2025-06-28,Bananas,60,42,60.0,0,55,4,18,1,30.0,18.0,1080.0,324.0,9.71,0,0
2025-06-29,Bananas,60,42,60.0,0,37,3,10,1,30.0,18.0,600.0,180.0,10.14,0,0
2025-01-01,Bread,45,32,45.0,0,30,3,4,0,28.9,13.0,180.0,52.0,4.0,0,0
2025-01-02,Bread,45,32,40.5,10,26,2,11,0,28.9,8.5,445.5,93.5,4.0,0,0
2025-01-03,Bread,45,32,31.5,30,15,1,14,0,28.9,-0.5,441.0,-7.0,7.5,1,32
2025-01-04,Bread,45,32,45.0,0,26,3,10,1,28.9,13.0,450.0,130.0,9.67,0,0
2025-01-05,Bread,45,32,27.0,40,16,2,16,1,28.9,-5.0,432.0,-80.0,9.75,0,0
2025-01-06,Bread,45,32,45.0,0,27,3,8,0,28.9,13.0,360.0,104.0,11.0,0,0
2025-01-07,Bread,45,32,36.0,20,19,2,18,0,28.9,4.0,648.0,72.0,10.5,0,0
2025-01-08,Bread,45,32,36.0,20,1,1,1,0,28.9,4.0,36.0,4.0,11.57,0,0
2025-01-09,Bread,45,32,45.0,0,23,3,8,0,28.9,13.0,360.0,104.0,11.14,0,0
2025-01-10,Bread,45,32,27.0,40,15,2,15,0,28.9,-5.0,405.0,-75.0,10.71,0,0
2025-01-11,Bread,45,32,45.0,0,26,3,9,1,28.9,13.0,405.0,117.0,10.86,0,0
2025-01-12,Bread,45,32,31.5,30,17,2,15,1,28.9,-0.5,472.5,-7.5,10.71,0,0
2025-01-13,Bread,45,32,45.0,0,2,1,2,0,28.9,13.0,90.0,26.0,10.57,0,0
2025-01-14,Bread,45,32,45.0,0,30,3,5,0,28.9,13.0,225.0,65.0,9.71,0,0
2025-01-15,Bread,45,32,40.5,10,25,2,9,0,28.9,8.5,364.5,76.5,7.86,0,0
2025-01-16,Bread,45,32,42.75,5,16,1,8,0,28.9,10.75,342.0,86.0,9.0,8,256
2025-01-17,Bread,45,32,45.0,0,25,3,11,0,28.9,13.0,495.0,143.0,9.0,0,0
2025-01-18,Bread,45,32,27.0,40,14,2,14,1,28.9,-5.0,378.0,-70.0,8.43,0,0
2025-01-19,Bread,45,32,45.0,0,27,3,12,1,28.9,13.0,540.0,156.0,9.14,0,0
2025-01-20,Bread,45,32,31.5,30,15,2,15,0,28.9,-0.5,472.5,-7.5,8.71,0,0
2025-01-21,Bread,45,32,45.0,0,23,3,7,0,28.9,13.0,315.0,91.0,10.57,0,0
2025-01-22,Bread,45,32,27.0,40,16,2,16,0,28.9,-5.0,432.0,-80.0,10.86,0,0
2025-01-23,Bread,45,32,45.0,0,25,3,4,0,28.9,13.0,180.0,52.0,11.86,0,0
2025-01-24,Bread,45,32,36.0,20,21,2,15,0,28.9,4.0,540.0,60.0,11.29,0,0
2025-01-25,Bread,45,32,40.5,10,6,1,6,1,28.9,8.5,243.0,51.0,11.86,0,0
2025-01-26,Bread,45,32,45.0,0,26,3,8,1,28.9,13.0,360.0,104.0,10.71,0,0
2025-01-27,Bread,45,32,31.5,30,18,2,15,0,28.9,-0.5,472.5,-7.5,10.14,0,0
2025-01-28,Bread,45,32,45.0,0,3,1,3,0,28.9,13.0,135.0,39.0,10.14,0,0
2025-01-29,Bread,45,32,45.0,0,24,3,11,0,28.9,13.0,495.0,143.0,9.57,0,0
2025-01-30,Bread,45,32,42.75,5,13,2,8,0,28.9,10.75,342.0,86.0,8.86,0,0
2025-01-31,Bread,45,32,45.0,0,5,1,4,0,28.9,13.0,180.0,52.0,9.43,1,32
2025-02-01,Bread,45,32,45.0,0,30,3,10,1,28.9,13.0,450.0,130.0,7.86,0,0
2025-02-02,Bread,45,32,31.5,30,20,2,20,1,28.9,-0.5,630.0,-10.0,8.43,0,0
2025-02-03,Bread,45,32,45.0,0,24,3,7,0,28.9,13.0,315.0,91.0,10.14,0,0
2025-02-04,Bread,45,32,42.75,5,17,2,7,0,28.9,10.75,299.25,75.25,9.0,0,0
2025-02-05,Bread,45,32,45.0,0,10,1,7,0,28.9,13.0,315.0,91.0,9.57,3,96
2025-02-06,Bread,45,32,45.0,0,22,3,11,0,28.9,13.0,495.0,143.0,9.0,0,0
2025-02-07,Bread,45,32,36.0,20,11,2,11,0,28.9,4.0,396.0,44.0,9.43,0,0
2025-02-08,Bread,45,32,45.0,0,31,3,8,1,28.9,13.0,360.0,104.0,10.43,0,0
2025-02-09,Bread,45,32,27.0,40,23,2,14,1,28.9,-5.0,378.0,-70.0,10.14,0,0
2025-02-10,Bread,45,32,31.5,30,9,1,9,0,28.9,-0.5,283.5,-4.5,9.29,0,0
2025-02-11,Bread,45,32,45.0,0,28,3,14,0,28.9,13.0,630.0,182.0,9.57,0,0
2025-02-12,Bread,45,32,36.0,20,14,2,14,0,28.9,4.0,504.0,56.0,10.57,0,0
2025-02-13,Bread,45,32,45.0,0,22,3,11,0,28.9,13.0,495.0,143.0,11.57,0,0
2025-02-14,Bread,45,32,36.0,20,11,2,9,0,28.9,4.0,324.0,36.0,11.57,0,0
2025-02-15,Bread,45,32,42.75,5,2,1,2,1,28.9,10.75,85.5,21.5,11.29,0,0
2025-02-16,Bread,45,32,45.0,0,25,3,7,1,28.9,13.0,315.0,91.0,10.43,0,0
2025-02-17,Bread,45,32,40.5,10,18,2,18,0,28.9,8.5,729.0,153.0,9.43,0,0
2025-02-18,Bread,45,32,45.0,0,24,3,7,0,28.9,13.0,315.0,91.0,10.71,0,0
2025-02-19,Bread,45,32,27.0,40,17,2,16,0,28.9,-5.0,432.0,-80.0,9.71,0,0
2025-02-20,Bread,45,32,27.0,40,1,1,1,0,28.9,-5.0,27.0,-5.0,10.0,0,0
2025-02-21,Bread,45,32,45.0,0,27,3,8,0,28.9,13.0,360.0,104.0,8.57,0,0
2025-02-22,Bread,45,32,27.0,40,19,2,19,1,28.9,-5.0,513.0,-95.0,8.43,0,0
2025-02-23,Bread,45,32,45.0,0,28,3,6,1,28.9,13.0,270.0,78.0,10.86,0,0
2025-02-24,Bread,45,32,42.75,5,22,2,14,0,28.9,10.75,598.5,150.5,10.71,0,0
2025-02-25,Bread,45,32,45.0,0,8,1,7,0,28.9,13.0,315.0,91.0,10.14,1,32
2025-02-26,Bread,45,32,45.0,0,25,3,8,0,28.9,13.0,360.0,104.0,10.14,0,0
2025-02-27,Bread,45,32,36.0,20,17,2,17,0,28.9,4.0,612.0,68.0,9.0,0,0
2025-02-28,Bread,45,32,45.0,0,28,3,3,0,28.9,13.0,135.0,39.0,11.29,0,0
2025-03-01,Bread,45,32,36.0,20,25,2,20,1,28.9,4.0,720.0,80.0,10.57,0,0
2025-03-02,Bread,45,32,36.0,20,5,1,5,1,28.9,4.0,180.0,20.0,10.71,0,0
2025-03-03,Bread,45,32,45.0,0,22,3,5,0,28.9,13.0,225.0,65.0,10.57,0,0
2025-03-04,Bread,45,32,31.5,30,17,2,16,0,28.9,-0.5,504.0,-8.0,9.29,0,0
2025-03-05,Bread,45,32,36.0,20,1,1,1,0,28.9,4.0,36.0,4.0,10.57,0,0
2025-03-06,Bread,45,32,45.0,0,30,3,3,0,28.9,13.0,135.0,39.0,9.57,0,0
2025-03-07,Bread,45,32,45.0,0,27,2,9,0,28.9,13.0,405.0,117.0,7.57,0,0
2025-03-08,Bread,45,32,27.0,40,18,1,13,1,28.9,-5.0,351.0,-65.0,8.43,5,160
2025-03-09,Bread,45,32,45.0,0,31,3,8,1,28.9,13.0,360.0,104.0,7.43,0,0
2025-03-10,Bread,45,32,36.0,20,23,2,12,0,28.9,4.0,432.0,48.0,7.86,0,0
2025-03-11,Bread,45,32,31.5,30,11,1,11,0,28.9,-0.5,346.5,-5.5,8.86,0,0
2025-03-12,Bread,45,32,45.0,0,24,3,13,0,28.9,13.0,585.0,169.0,8.14,0,0
2025-03-13,Bread,45,32,42.75,5,11,2,5,0,28.9,10.75,213.75,53.75,9.86,0,0
2025-03-14,Bread,45,32,31.5,30,6,1,6,0,28.9,-0.5,189.0,-3.0,10.14,0,0
2025-03-15,Bread,45,32,45.0,0,26,3,18,1,28.9,13.0,810.0,234.0,9.71,0,0
2025-03-16,Bread,45,32,27.0,40,8,2,8,1,28.9,-5.0,216.0,-40.0,10.43,0,0
