date,product_name,category,mrp,cost_price,shelf_life_days,expiry_date,days_remaining,discount_pct,discounted_price,morning_price,evening_price,stock_qty,units_sold_today,is_weekend,margin_pct,revenue_today,cost_today,gross_profit_today,units_sold_7d_avg
2025-01-02,Tomatoes,Vegetables,40,28,4,2025-01-05,2.561,0,40.0,40.0,40.0,42,15,0,30.0,600.0,420,180.0,16.0
2025-01-03,Brown Bread,Bakery,55,40,4,2025-01-05,1.698,5,52.25,,,21,11,0,27.3,574.75,440,134.75,7.0
2025-01-03,Burger Buns (4 pcs),Bakery,30,22,4,2025-01-05,1.708,10,27.0,,,17,10,0,26.7,270.0,220,50.0,4.5
2025-01-03,Ladi Pav (6 pcs),Bakery,20,14,3,2025-01-04,0.791,20,16.0,,,36,31,0,30.0,496.0,434,62.0,20.5
2025-01-03,White Bread,Bakery,45,32,4,2025-01-05,1.276,10,40.5,,,46,25,0,28.9,1012.5,800,212.5,13.0
2025-01-03,Milk 1L (Toned),Dairy,66,58,2,2025-01-05,1.266,5,62.7,,,40,33,0,12.1,2069.1,1914,155.1,19.0
2025-01-03,Paneer 200g,Dairy,90,65,4,2025-01-05,1.814,5,85.5,,,13,9,0,27.8,769.5,585,184.5,5.0
2025-01-03,Eggs (1 Dozen),Eggs,85,68,14,2025-01-15,11.895,0,85.0,,,311,26,0,20.0,2210.0,1768,442.0,17.5
2025-01-03,Bananas,Fruits,60,42,5,2025-01-06,2.038,10,54.0,,,28,14,0,30.0,756.0,588,168.0,13.0
2025-01-03,Basmati Rice 1kg,Grocery,95,72,365,2026-01-01,362.603,0,95.0,,,11470,21,0,24.2,1995.0,1512,483.0,22.5
2025-01-03,Onions 1kg,Grocery,35,24,15,2025-01-16,12.32,0,35.0,,,420,26,0,31.4,910.0,624,286.0,31.5
2025-01-03,Potatoes 1kg,Grocery,30,20,20,2025-01-21,17.134,0,30.0,,,724,26,0,33.3,780.0,520,260.0,28.0
2025-01-03,Coriander (Bunch),Vegetables,15,8,2,2025-01-05,1.114,0,15.0,15.0,15.0,26,12,0,46.7,180.0,96,84.0,11.5
2025-01-03,Spinach Bunch,Vegetables,30,18,2,2025-01-05,1.445,0,30.0,30.0,30.0,17,5,0,40.0,150.0,90,60.0,11.5
2025-01-03,Tomatoes,Vegetables,40,28,4,2025-01-05,1.561,5,38.0,40.0,38.0,27,15,0,30.0,588.0,420,168.0,15.5
2025-01-04,Brown Bread,Bakery,55,40,4,2025-01-05,0.698,10,49.5,,,10,10,1,27.3,495.0,400,95.0,8.33
2025-01-04,Burger Buns (4 pcs),Bakery,30,22,4,2025-01-05,0.708,10,27.0,,,7,7,1,26.7,189.0,154,35.0,6.33
2025-01-04,Ladi Pav (6 pcs),Bakery,20,14,3,2025-01-07,2.122,0,20.0,,,59,27,1,30.0,540.0,378,162.0,24.0
2025-01-04,White Bread,Bakery,45,32,4,2025-01-05,0.276,40,27.0,,,21,21,1,28.9,567.0,672,-105.0,17.0
2025-01-04,Milk 1L (Toned),Dairy,66,58,2,2025-01-05,0.266,40,39.6,,,7,7,1,12.1,277.2,406,-128.8,23.67
2025-01-04,Paneer 200g,Dairy,90,65,4,2025-01-05,0.814,10,81.0,,,4,4,1,27.8,324.0,260,64.0,6.33
2025-01-04,Eggs (1 Dozen),Eggs,85,68,14,2025-01-15,10.895,0,85.0,,,285,21,1,20.0,1785.0,1428,357.0,20.33
2025-01-04,Bananas,Fruits,60,42,5,2025-01-06,1.038,10,54.0,,,14,14,1,30.0,756.0,588,168.0,13.33
2025-01-04,Basmati Rice 1kg,Grocery,95,72,365,2026-01-01,361.603,0,95.0,,,11449,32,1,24.2,3040.0,2304,736.0,22.0
2025-01-04,Onions 1kg,Grocery,35,24,15,2025-01-16,11.32,0,35.0,,,394,39,1,31.4,1365.0,936,429.0,29.67
2025-01-04,Potatoes 1kg,Grocery,30,20,20,2025-01-21,16.134,0,30.0,,,698,53,1,33.3,1590.0,1060,530.0,27.33
2025-01-04,Coriander (Bunch),Vegetables,15,8,2,2025-01-05,0.114,20,12.0,15.0,12.0,14,14,1,46.7,192.0,112,80.0,11.67
2025-01-04,Spinach Bunch,Vegetables,30,18,2,2025-01-05,0.445,20,24.0,30.0,24.0,12,12,1,40.0,330.0,216,114.0,9.33
2025-01-04,Tomatoes,Vegetables,40,28,4,2025-01-05,0.561,20,32.0,40.0,32.0,12,12,1,30.0,440.0,336,104.0,15.33
2025-01-05,Brown Bread,Bakery,55,40,4,2025-01-09,3.946,0,55.0,,,37,11,1,27.3,605.0,440,165.0,8.75
2025-01-05,Burger Buns (4 pcs),Bakery,30,22,4,2025-01-09,3.007,0,30.0,,,24,10,1,26.7,300.0,220,80.0,6.5
2025-01-05,Ladi Pav (6 pcs),Bakery,20,14,3,2025-01-07,1.122,10,18.0,,,32,32,1,30.0,576.0,448,128.0,24.75
2025-01-05,White Bread,Bakery,45,32,4,2025-01-09,3.151,0,45.0,,,63,13,1,28.9,585.0,416,169.0,18.0
2025-01-05,Milk 1L (Toned),Dairy,66,58,2,2025-01-07,1.277,0,66.0,,,50,23,1,12.1,1518.0,1334,184.0,19.5
2025-01-05,Paneer 200g,Dairy,90,65,4,2025-01-09,3.826,0,90.0,,,26,4,1,27.8,360.0,260,100.0,5.75
2025-01-05,Eggs (1 Dozen),Eggs,85,68,14,2025-01-15,9.895,0,85.0,,,264,21,1,20.0,1785.0,1428,357.0,20.5
2025-01-05,Bananas,Fruits,60,42,5,2025-01-10,4.481,0,60.0,,,61,11,1,30.0,660.0,462,198.0,13.5
2025-01-05,Basmati Rice 1kg,Grocery,95,72,365,2026-01-01,360.603,0,95.0,,,11417,24,1,24.2,2280.0,1728,552.0,24.5
2025-01-05,Onions 1kg,Grocery,35,24,15,2025-01-16,10.32,0,35.0,,,355,37,1,31.4,1295.0,888,407.0,32.0
2025-01-05,Potatoes 1kg,Grocery,30,20,20,2025-01-21,15.134,0,30.0,,,645,43,1,33.3,1290.0,860,430.0,33.75
2025-01-05,Coriander (Bunch),Vegetables,15,8,2,2025-01-07,1.041,0,15.0,15.0,15.0,20,14,1,46.7,210.0,112,98.0,12.25
2025-01-05,Spinach Bunch,Vegetables,30,18,2,2025-01-07,1.135,5,28.5,30.0,28.5,22,17,1,40.0,499.5,306,193.5,10.0
2025-01-05,Tomatoes,Vegetables,40,28,4,2025-01-09,3.773,0,40.0,40.0,40.0,52,14,1,30.0,560.0,392,168.0,14.5
2025-01-06,Brown Bread,Bakery,55,40,4,2025-01-09,2.946,0,55.0,,,26,6,0,27.3,330.0,240,90.0,9.2
2025-01-06,Burger Buns (4 pcs),Bakery,30,22,4,2025-01-09,2.007,0,30.0,,,14,8,0,26.7,240.0,176,64.0,7.2
2025-01-06,Ladi Pav (6 pcs),Bakery,20,14,3,2025-01-09,2.977,0,20.0,,,56,13,0,30.0,260.0,182,78.0,26.2
2025-01-06,White Bread,Bakery,45,32,4,2025-01-09,2.151,5,42.75,,,50,18,0,28.9,769.5,576,193.5,17.0
2025-01-06,Milk 1L (Toned),Dairy,66,58,2,2025-01-07,0.277,20,52.8,,,27,27,0,12.1,1425.6,1566,-140.4,20.2
2025-01-06,Paneer 200g,Dairy,90,65,4,2025-01-09,2.826,0,90.0,,,22,2,0,27.8,180.0,130,50.0,5.4
2025-01-06,Eggs (1 Dozen),Eggs,85,68,14,2025-01-15,8.895,0,85.0,,,243,17,0,20.0,1445.0,1156,289.0,20.6
2025-01-06,Bananas,Fruits,60,42,5,2025-01-10,3.481,0,60.0,,,50,10,0,30.0,600.0,420,180.0,13.0
2025-01-06,Basmati Rice 1kg,Grocery,95,72,365,2026-01-01,359.603,0,95.0,,,11393,26,0,24.2,2470.0,1872,598.0,24.4
2025-01-06,Onions 1kg,Grocery,35,24,15,2025-01-16,9.32,5,33.25,,,318,44,0,31.4,1463.0,1056,407.0,33.0
2025-01-06,Potatoes 1kg,Grocery,30,20,20,2025-01-21,14.134,5,28.5,,,602,45,0,33.3,1282.5,900,382.5,35.6
2025-01-06,Coriander (Bunch),Vegetables,15,8,2,2025-01-07,0.041,60,6.0,15.0,6.0,6,6,0,46.7,72.0,48,24.0,12.6
2025-01-06,Spinach Bunch,Vegetables,30,18,2,2025-01-07,0.135,40,18.0,30.0,18.0,5,5,0,40.0,126.0,90,36.0,11.4
2025-01-06,Tomatoes,Vegetables,40,28,4,2025-01-09,2.773,5,38.0,40.0,38.0,38,19,0,30.0,744.0,532,212.0,14.4
2025-01-07,Brown Bread,Bakery,55,40,4,2025-01-09,1.946,5,52.25,,,20,4,0,27.3,209.0,160,49.0,8.67
2025-01-07,Burger Buns (4 pcs),Bakery,30,22,4,2025-01-09,1.007,10,27.0,,,6,4,0,26.7,108.0,88,20.0,7.33
2025-01-07,Ladi Pav (6 pcs),Bakery,20,14,3,2025-01-09,1.977,0,20.0,,,43,18,0,30.0,360.0,252,108.0,24.0
2025-01-07,White Bread,Bakery,45,32,4,2025-01-09,1.151,10,40.5,,,32,24,0,28.9,972.0,768,204.0,17.17
2025-01-07,Milk 1L (Toned),Dairy,66,58,2,2025-01-09,1.056,0,66.0,,,42,19,0,12.1,1254.0,1102,152.0,21.33
2025-01-07,Paneer 200g,Dairy,90,65,4,2025-01-09,1.826,5,85.5,,,20,10,0,27.8,855.0,650,205.0,4.83
2025-01-07,Eggs (1 Dozen),Eggs,85,68,14,2025-01-15,7.895,0,85.0,,,226,14,0,20.0,1190.0,952,238.0,20.0
2025-01-07,Bananas,Fruits,60,42,5,2025-01-10,2.481,5,57.0,,,40,18,0,30.0,1026.0,756,270.0,12.5
2025-01-07,Basmati Rice 1kg,Grocery,95,72,365,2026-01-01,358.603,0,95.0,,,11367,19,0,24.2,1805.0,1368,437.0,24.67
2025-01-07,Onions 1kg,Grocery,35,24,15,2025-01-16,8.32,0,35.0,,,274,27,0,31.4,945.0,648,297.0,34.83
2025-01-07,Potatoes 1kg,Grocery,30,20,20,2025-01-21,13.134,0,30.0,,,557,35,0,33.3,1050.0,700,350.0,37.17
2025-01-07,Coriander (Bunch),Vegetables,15,8,2,2025-01-09,1.36,0,15.0,15.0,15.0,24,9,0,46.7,135.0,72,63.0,11.5
2025-01-07,Spinach Bunch,Vegetables,30,18,2,2025-01-09,1.995,0,30.0,30.0,30.0,22,8,0,40.0,240.0,144,96.0,10.33
2025-01-07,Tomatoes,Vegetables,40,28,4,2025-01-09,1.773,5,38.0,40.0,38.0,19,19,0,30.0,744.0,532,212.0,15.17
2025-01-08,Brown Bread,Bakery,55,40,4,2025-01-09,0.946,20,44.0,,,16,16,0,27.3,704.0,640,64.0,8.0
2025-01-08,Burger Buns (4 pcs),Bakery,30,22,4,2025-01-09,0.007,60,12.0,,,2,2,0,26.7,24.0,44,-20.0,6.86
2025-01-08,Ladi Pav (6 pcs),Bakery,20,14,3,2025-01-09,0.977,10,18.0,,,25,25,0,30.0,450.0,350,100.0,23.14
2025-01-08,White Bread,Bakery,45,32,4,2025-01-09,0.151,60,18.0,,,8,8,0,28.9,144.0,256,-112.0,18.14
2025-01-08,Milk 1L (Toned),Dairy,66,58,2,2025-01-09,0.056,60,26.4,,,23,23,0,12.1,607.2,1334,-726.8,21.0
2025-01-08,Paneer 200g,Dairy,90,65,4,2025-01-09,0.826,20,72.0,,,10,10,0,27.8,720.0,650,70.0,5.57
2025-01-08,Eggs (1 Dozen),Eggs,85,68,14,2025-01-15,6.895,5,80.75,,,212,25,0,20.0,2018.75,1700,318.75,19.14
2025-01-08,Bananas,Fruits,60,42,5,2025-01-10,1.481,20,48.0,,,22,22,0,30.0,1056.0,924,132.0,13.29
2025-01-08,Basmati Rice 1kg,Grocery,95,72,365,2026-01-01,357.603,0,95.0,,,11348,16,0,24.2,1520.0,1152,368.0,23.86
2025-01-08,Onions 1kg,Grocery,35,24,15,2025-01-16,7.32,10,31.5,,,247,46,0,31.4,1449.0,1104,345.0,33.71
2025-01-08,Potatoes 1kg,Grocery,30,20,20,2025-01-21,12.134,0,30.0,,,522,56,0,33.3,1680.0,1120,560.0,36.86
2025-01-08,Coriander (Bunch),Vegetables,15,8,2,2025-01-09,0.36,10,13.5,15.0,13.5,15,14,0,46.7,201.0,112,89.0,11.14
2025-01-08,Spinach Bunch,Vegetables,30,18,2,2025-01-09,0.995,10,27.0,30.0,27.0,14,11,0,40.0,318.0,198,120.0,10.0
2025-01-08,Tomatoes,Vegetables,40,28,4,2025-01-12,3.533,0,40.0,40.0,40.0,47,4,0,30.0,160.0,112,48.0,15.71
2025-01-09,Brown Bread,Bakery,55,40,4,2025-01-13,3.625,0,55.0,,,35,3,0,27.3,165.0,120,45.0,9.0
2025-01-09,Burger Buns (4 pcs),Bakery,30,22,4,2025-01-13,3.432,0,30.0,,,28,9,0,26.7,270.0,198,72.0,6.43
2025-01-09,Ladi Pav (6 pcs),Bakery,20,14,3,2025-01-12,2.401,0,20.0,,,76,18,0,30.0,360.0,252,108.0,23.57
2025-01-09,White Bread,Bakery,45,32,4,2025-01-13,3.356,0,45.0,,,76,20,0,28.9,900.0,640,260.0,17.57
2025-01-09,Milk 1L (Toned),Dairy,66,58,2,2025-01-11,1.227,0,66.0,,,42,24,0,12.1,1584.0,1392,192.0,21.43
2025-01-09,Paneer 200g,Dairy,90,65,4,2025-01-13,3.891,0,90.0,,,22,5,0,27.8,450.0,325,125.0,6.71
2025-01-09,Eggs (1 Dozen),Eggs,85,68,14,2025-01-15,5.895,5,80.75,,,187,21,0,20.0,1695.75,1428,267.75,20.71
2025-01-09,Bananas,Fruits,60,42,5,2025-01-14,4.191,0,60.0,,,55,7,0,30.0,420.0,294,126.0,14.86
2025-01-09,Basmati Rice 1kg,Grocery,95,72,365,2026-01-01,356.603,0,95.0,,,11332,24,0,24.2,2280.0,1728,552.0,22.43
2025-01-09,Onions 1kg,Grocery,35,24,15,2025-01-16,6.32,5,33.25,,,201,44,0,31.4,1463.0,1056,407.0,37.14
2025-01-09,Potatoes 1kg,Grocery,30,20,20,2025-01-21,11.134,0,30.0,,,466,33,0,33.3,990.0,660,330.0,40.14
2025-01-09,Coriander (Bunch),Vegetables,15,8,2,2025-01-11,1.91,0,15.0,15.0,15.0,22,6,0,46.7,90.0,48,42.0,11.29
2025-01-09,Spinach Bunch,Vegetables,30,18,2,2025-01-11,1.725,0,30.0,30.0,30.0,19,9,0,40.0,270.0,162,108.0,9.71
2025-01-09,Tomatoes,Vegetables,40,28,4,2025-01-12,2.533,5,38.0,40.0,38.0,43,18,0,30.0,706.0,504,202.0,14.0
2025-01-10,Brown Bread,Bakery,55,40,4,2025-01-13,2.625,0,55.0,,,32,5,0,27.3,275.0,200,75.0,8.71
2025-01-10,Burger Buns (4 pcs),Bakery,30,22,4,2025-01-13,2.432,5,28.5,,,19,7,0,26.7,199.5,154,45.5,7.14
2025-01-10,Ladi Pav (6 pcs),Bakery,20,14,3,2025-01-12,1.401,5,19.0,,,58,24,0,30.0,456.0,336,120.0,23.43
2025-01-10,White Bread,Bakery,45,32,4,2025-01-13,2.356,5,42.75,,,56,20,0,28.9,855.0,640,215.0,18.43
2025-01-10,Milk 1L (Toned),Dairy,66,58,2,2025-01-11,0.227,40,39.6,,,18,18,0,12.1,712.8,1044,-331.2,22.29
2025-01-10,Paneer 200g,Dairy,90,65,4,2025-01-13,2.891,5,85.5,,,17,5,0,27.8,427.5,325,102.5,6.29
2025-01-10,Eggs (1 Dozen),Eggs,85,68,14,2025-01-15,4.895,10,76.5,,,166,28,0,20.0,2142.0,1904,238.0,20.71
2025-01-10,Bananas,Fruits,60,42,5,2025-01-14,3.191,0,60.0,,,48,7,0,30.0,420.0,294,126.0,13.71
2025-01-10,Basmati Rice 1kg,Grocery,95,72,365,2026-01-01,355.603,0,95.0,,,11308,31,0,24.2,2945.0,2232,713.0,23.14
2025-01-10,Onions 1kg,Grocery,35,24,15,2025-01-16,5.32,5,33.25,,,157,35,0,31.4,1163.75,840,323.75,37.57
2025-01-10,Potatoes 1kg,Grocery,30,20,20,2025-01-21,10.134,5,28.5,,,433,38,0,33.3,1083.0,760,323.0,41.57
2025-01-10,Coriander (Bunch),Vegetables,15,8,2,2025-01-11,0.91,5,14.25,15.0,14.25,16,8,0,46.7,117.75,64,53.75,10.71
2025-01-10,Spinach Bunch,Vegetables,30,18,2,2025-01-11,0.725,10,27.0,30.0,27.0,10,10,0,40.0,288.0,180,108.0,9.57
2025-01-10,Tomatoes,Vegetables,40,28,4,2025-01-12,1.533,5,38.0,40.0,38.0,25,14,0,30.0,548.0,392,156.0,14.43
2025-01-11,Brown Bread,Bakery,55,40,4,2025-01-13,1.625,5,52.25,,,27,9,1,27.3,470.25,360,110.25,7.86
2025-01-11,Burger Buns (4 pcs),Bakery,30,22,4,2025-01-13,1.432,5,28.5,,,12,9,1,26.7,256.5,198,58.5,6.71
2025-01-11,Ladi Pav (6 pcs),Bakery,20,14,3,2025-01-12,0.401,20,16.0,,,34,34,1,30.0,544.0,476,68.0,22.43
2025-01-11,White Bread,Bakery,45,32,4,2025-01-13,1.356,5,42.75,,,36,22,1,28.9,940.5,704,236.5,17.71
2025-01-11,Milk 1L (Toned),Dairy,66,58,2,2025-01-13,1.077,0,66.0,,,37,31,1,12.1,2046.0,1798,248.0,20.14
2025-01-11,Paneer 200g,Dairy,90,65,4,2025-01-13,1.891,10,81.0,,,12,7,1,27.8,567.0,455,112.0,5.71
2025-01-11,Eggs (1 Dozen),Eggs,85,68,14,2025-01-15,3.895,10,76.5,,,138,33,1,20.0,2524.5,2244,280.5,21.0
2025-01-11,Bananas,Fruits,60,42,5,2025-01-14,2.191,5,57.0,,,41,16,1,30.0,912.0,672,240.0,12.71
2025-01-11,Basmati Rice 1kg,Grocery,95,72,365,2026-01-01,354.603,0,95.0,,,11277,40,1,24.2,3800.0,2880,920.0,24.57
2025-01-11,Onions 1kg,Grocery,35,24,15,2025-01-16,4.32,10,31.5,,,122,49,1,31.4,1543.5,1176,367.5,38.86
2025-01-11,Potatoes 1kg,Grocery,30,20,20,2025-01-21,9.134,5,28.5,,,395,52,1,33.3,1482.0,1040,442.0,43.29
2025-01-11,Coriander (Bunch),Vegetables,15,8,2,2025-01-13,1.42,5,14.25,15.0,14.25,27,21,1,46.7,309.0,168,141.0,10.14
2025-01-11,Spinach Bunch,Vegetables,30,18,2,2025-01-13,1.085,0,30.0,30.0,30.0,19,6,1,40.0,180.0,108,72.0,10.29
2025-01-11,Tomatoes,Vegetables,40,28,4,2025-01-12,0.533,40,24.0,40.0,24.0,11,11,1,30.0,376.0,308,68.0,14.29
2025-01-12,Brown Bread,Bakery,55,40,4,2025-01-13,0.625,10,49.5,,,18,13,1,27.3,643.5,520,123.5,7.71
2025-01-12,Burger Buns (4 pcs),Bakery,30,22,4,2025-01-13,0.432,30,21.0,,,3,3,1,26.7,63.0,66,-3.0,7.0
2025-01-12,Ladi Pav (6 pcs),Bakery,20,14,3,2025-01-15,2.187,0,20.0,,,74,19,1,30.0,380.0,266,114.0,23.43
2025-01-12,White Bread,Bakery,45,32,4,2025-01-13,0.356,20,36.0,,,14,14,1,28.9,504.0,448,56.0,17.86
2025-01-12,Milk 1L (Toned),Dairy,66,58,2,2025-01-13,0.077,60,26.4,,,6,6,1,12.1,158.4,348,-189.6,23.57
2025-01-12,Paneer 200g,Dairy,90,65,4,2025-01-13,0.891,20,72.0,,,5,5,1,27.8,360.0,325,35.0,6.14
2025-01-12,Eggs (1 Dozen),Eggs,85,68,14,2025-01-15,2.895,10,76.5,,,105,35,1,20.0,2677.5,2380,297.5,22.71
2025-01-12,Bananas,Fruits,60,42,5,2025-01-14,1.191,20,48.0,,,25,20,1,30.0,960.0,840,120.0,13.0
2025-01-12,Basmati Rice 1kg,Grocery,95,72,365,2026-01-01,353.603,0,95.0,,,11237,26,1,24.2,2470.0,1872,598.0,25.71
2025-01-12,Onions 1kg,Grocery,35,24,15,2025-01-16,3.32,10,31.5,,,73,60,1,31.4,1890.0,1440,450.0,40.29
2025-01-12,Potatoes 1kg,Grocery,30,20,20,2025-01-21,8.134,5,28.5,,,343,51,1,33.3,1453.5,1020,433.5,43.14
2025-01-12,Coriander (Bunch),Vegetables,15,8,2,2025-01-13,0.42,10,13.5,15.0,13.5,6,6,1,46.7,87.0,48,39.0,11.14
2025-01-12,Spinach Bunch,Vegetables,30,18,2,2025-01-13,0.085,50,15.0,30.0,15.0,13,13,1,40.0,315.0,234,81.0,9.43
2025-01-12,Tomatoes,Vegetables,40,28,4,2025-01-16,3.524,0,40.0,40.0,40.0,46,10,1,30.0,400.0,280,120.0,14.14
2025-01-13,Brown Bread,Bakery,55,40,4,2025-01-17,3.373,0,55.0,,,38,5,0,27.3,275.0,200,75.0,8.0
2025-01-13,Burger Buns (4 pcs),Bakery,30,22,4,2025-01-17,3.287,0,30.0,,,26,8,0,26.7,240.0,176,64.0,6.0
2025-01-13,Ladi Pav (6 pcs),Bakery,20,14,3,2025-01-15,1.187,5,19.0,,,55,24,0,30.0,456.0,336,120.0,21.57
2025-01-13,White Bread,Bakery,45,32,4,2025-01-17,3.077,0,45.0,,,69,17,0,28.9,765.0,544,221.0,18.0
2025-01-13,Milk 1L (Toned),Dairy,66,58,2,2025-01-15,1.966,0,66.0,,,44,24,0,12.1,1584.0,1392,192.0,21.14
2025-01-13,Paneer 200g,Dairy,90,65,4,2025-01-17,3.516,0,90.0,,,28,3,0,27.8,270.0,195,75.0,6.29
2025-01-13,Eggs (1 Dozen),Eggs,85,68,14,2025-01-15,1.895,20,68.0,,,70,46,0,20.0,3128.0,3128,0.0,24.71
2025-01-13,Bananas,Fruits,60,42,5,2025-01-14,0.191,50,30.0,,,5,5,0,30.0,150.0,210,-60.0,14.29
2025-01-13,Basmati Rice 1kg,Grocery,95,72,365,2026-01-01,352.603,0,95.0,,,11211,26,0,24.2,2470.0,1872,598.0,26.0
2025-01-13,Onions 1kg,Grocery,35,24,15,2025-01-16,2.32,10,31.5,,,13,13,0,31.4,409.5,312,97.5,43.57
2025-01-13,Potatoes 1kg,Grocery,30,20,20,2025-01-21,7.134,10,27.0,,,292,53,0,33.3,1431.0,1060,371.0,44.29
2025-01-13,Coriander (Bunch),Vegetables,15,8,2,2025-01-15,1.553,0,15.0,15.0,15.0,26,9,0,46.7,135.0,72,63.0,10.0
2025-01-13,Spinach Bunch,Vegetables,30,18,2,2025-01-15,1.547,0,30.0,30.0,30.0,16,13,0,40.0,390.0,234,156.0,8.86
2025-01-13,Tomatoes,Vegetables,40,28,4,2025-01-16,2.524,5,38.0,40.0,38.0,36,12,0,30.0,470.0,336,134.0,13.57
2025-01-14,Brown Bread,Bakery,55,40,4,2025-01-17,2.373,0,55.0,,,33,7,0,27.3,385.0,280,105.0,7.86
2025-01-14,Burger Buns (4 pcs),Bakery,30,22,4,2025-01-17,2.287,0,30.0,,,18,10,0,26.7,300.0,220,80.0,6.0
2025-01-14,Ladi Pav (6 pcs),Bakery,20,14,3,2025-01-15,0.187,40,12.0,,,31,31,0,30.0,372.0,434,-62.0,23.14
2025-01-14,White Bread,Bakery,45,32,4,2025-01-17,2.077,5,42.75,,,52,14,0,28.9,598.5,448,150.5,17.86
2025-01-14,Milk 1L (Toned),Dairy,66,58,2,2025-01-15,0.966,10,59.4,,,20,20,0,12.1,1188.0,1160,28.0,20.71
2025-01-14,Paneer 200g,Dairy,90,65,4,2025-01-17,2.516,0,90.0,,,25,6,0,27.8,540.0,390,150.0,6.43
2025-01-14,Eggs (1 Dozen),Eggs,85,68,14,2025-01-15,0.895,20,68.0,,,24,24,0,20.0,1632.0,1632,0.0,28.86
2025-01-14,Bananas,Fruits,60,42,5,2025-01-19,4.739,0,60.0,,,53,11,0,30.0,660.0,462,198.0,13.57
